Customer_ID,Age,Gender,State,Customer_Segment,Acquisition_Channel,Join_Date,Tenure_Months,Total_Orders,Orders_Last_90_Days,Total_Spend_NGN,Spend_Last_90_Days_NGN,Average_Order_Value_NGN,Days_Since_Last_Purchase,Most_Purchased_Category,Categories_Purchased,Total_Complaints,Primary_Complaint,Complaint_Severity,Complaint_Status,Days_To_Resolution,Number_of_Followups,Escalated,Complaint_Satisfaction,Return_Count,Return_Rate,Main_Return_Reason,Refund_Delay_Days,Refund_Amount_NGN,Exchange_Requested,Exchange_Successful,Average_Delivery_Days,Expected_Delivery_Days,Delivery_Delay_Days,Delivery_Delay_Count,Damaged_Delivery_Count,Missing_Item_Count,Delivery_Satisfaction,Support_Contacts,Average_Response_Time_Hours,Average_Resolution_Time_Hours,First_Contact_Resolution,Customer_Service_Rating,Product_Rating,Service_Rating,Satisfaction_Score,Trust_Score,NPS_Score,Likelihood_To_Return,Average_Discount_Percent,Discount_Usage_Rate,Price_Increase_Experienced,Competitor_Purchase_Flag,Competitor_Purchase_Frequency,Current_Status,Retained,Churned,At_Risk,Dormant,Churn_Reason,Churn_Date,Churn_Risk_Score
CUST10020,61,Female,Ogun,Loyal,Website,2025-03-04,18,13,2,459949.0,56261.89,31874.61,109,Tops,3,0,No Complaint,None,No Complaint,0,0,No,,2,0.154,Poor Quality,3,49988.14,No,No,2.4,2.8,0.0,1,1,0,4.4,0,4.1,8.9,Yes,4.7,4.0,4.7,4.0,4.1,16,8.1,2.23,0.261,Yes,No,0,Dormant,Yes,No,No,Yes,Not Churned,,56.6
CUST10021,47,Female,Imo,Regular,Google,2025-11-17,9,7,0,707191.12,0.0,88024.72,96,Tops,4,0,No Complaint,None,No Complaint,0,0,No,,0,0.0,No Return,0,0.0,No,No,2.8,3.3,0.0,0,0,0,4.1,2,9.1,11.6,Yes,3.0,4.2,3.0,3.7,4.4,0,6.6,1.76,0.592,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,18.7
CUST10022,55,Male,Imo,Regular,Facebook,2025-03-18,17,11,1,201789.56,18284.4,18478.5,25,Trousers,1,0,No Complaint,None,No Complaint,0,0,No,,2,0.182,Defective,3,34355.11,Yes,Yes,2.9,3.9,0.0,1,0,1,3.9,1,3.8,4.3,Yes,4.8,4.7,4.8,4.7,4.3,21,6.0,13.32,0.564,Yes,Yes,6,Retained,Yes,No,No,No,Not Churned,,3.8
CUST10023,19,Female,Oyo,New Customer,Google,2023-01-27,43,14,3,346805.68,70911.92,25232.57,62,Electronics,5,1,Wrong Product,Critical,Pending,2,0,No,5.0,2,0.143,Poor Quality,3,47839.9,No,No,3.5,5.0,0.0,1,1,0,3.9,2,4.8,9.4,Yes,1.9,4.1,1.9,3.3,4.0,0,6.4,5.37,0.221,No,No,0,Retained,Yes,No,No,No,Not Churned,,27.8
CUST10024,38,Male,Abia,Loyal,Website,2024-07-03,26,10,1,178907.59,15661.39,17196.01,40,Tops,3,2,Website Error,Low,Resolved,6,1,No,4.8,0,0.0,No Return,0,0.0,No,No,7.7,4.8,2.9,1,0,0,3.6,3,5.2,8.3,No,4.4,4.4,4.4,3.8,4.6,16,9.0,6.86,0.233,No,No,0,Retained,Yes,No,No,No,Not Churned,,8.9
CUST10025,50,Female,Oyo,New Customer,Facebook,2023-03-26,41,9,3,113212.29,35549.54,11800.98,86,Shoes,3,1,App Crash,Medium,Closed,5,1,No,5.0,2,0.222,Wrong Size,1,8874.52,No,No,3.3,2.9,0.4,0,1,1,4.0,1,4.7,7.3,No,4.0,3.7,4.0,3.9,3.9,31,6.5,1.74,0.608,Yes,No,0,Dormant,Yes,No,No,Yes,Not Churned,,45.9
CUST10026,29,Female,Edo,Regular,Referral,2025-11-19,9,11,2,762846.81,130257.76,62224.08,100,Accessories,1,4,Return Difficulty,High,Resolved,2,1,No,5.0,4,0.364,Product Description Inaccurate,6,195902.99,No,No,4.9,3.8,1.1,0,2,0,2.8,4,12.0,22.5,Yes,4.2,3.7,4.2,3.8,3.4,13,7.6,3.13,0.153,No,No,0,Churned,No,Yes,No,No,Negative Overall Experience,1773446400000000000,66.9
CUST10027,39,Female,Anambra,Regular,Website,2024-04-10,29,6,0,242855.66,0.0,41273.32,91,Bags,2,0,No Complaint,None,No Complaint,0,0,No,,2,0.333,Duplicate Order,10,61758.41,No,No,5.2,3.5,1.7,0,0,0,4.3,2,2.8,7.9,Yes,3.4,4.7,3.4,4.0,3.5,19,7.8,8.95,0.569,Yes,No,0,Dormant,Yes,No,No,Yes,Not Churned,,13.2
CUST10028,61,Female,Oyo,Regular,Google,2026-01-27,7,9,3,599720.78,201678.34,61330.36,113,Shoes,3,1,Poor Product Quality,Medium,Resolved,1,1,No,4.3,1,0.111,Poor Quality,6,57049.56,No,No,4.8,5.3,0.0,0,0,0,4.4,2,20.0,24.3,Yes,4.7,4.4,4.7,4.5,3.2,52,10.0,6.06,0.251,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,21.4
CUST10029,42,Female,Abuja,New Customer,Referral,2023-01-12,44,11,5,134788.27,63800.92,12969.09,71,Dresses,2,5,Late Delivery,Low,Resolved,2,1,No,4.4,1,0.091,Wrong Size,5,7426.0,Yes,Yes,5.1,5.1,0.0,1,0,0,5.0,5,2.6,8.9,Yes,3.7,4.8,3.7,4.3,4.1,10,9.2,7.94,0.036,No,Yes,3,Churned,No,Yes,No,No,Poor Customer Service,1787097600000000000,61.0
CUST10030,44,Male,Enugu,Loyal,Facebook,2025-10-09,10,8,2,368827.37,94894.62,43341.65,120,Trousers,1,1,Late Delivery,Low,Resolved,8,0,No,4.0,0,0.0,No Return,0,0.0,No,No,3.5,3.0,0.5,0,0,0,3.5,1,2.4,8.0,No,3.8,5.0,3.8,4.1,2.9,38,7.1,7.59,0.296,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,30.0
CUST10031,59,Female,Abuja,Loyal,Instagram,2025-11-19,9,7,1,628903.79,97401.24,89305.67,30,Shoes,1,2,Issue Not Resolved,High,Resolved,4,0,No,4.6,1,0.143,Duplicate Order,1,34776.35,Yes,Yes,2.6,3.8,0.0,2,1,0,4.6,2,0.9,4.9,No,2.8,4.2,2.8,3.7,3.6,45,7.5,3.91,0.103,No,No,0,Retained,Yes,No,No,No,Not Churned,,4.4
CUST10032,45,Male,Enugu,New Customer,Website,2025-11-27,9,9,0,483136.4,0.0,50707.63,97,Tops,4,4,Exchange Difficulty,Critical,Pending,5,4,Yes,5.0,0,0.0,No Return,0,0.0,No,No,2.6,3.8,0.0,0,0,0,4.4,4,4.0,6.8,No,4.1,5.0,4.1,4.5,4.2,35,10.0,5.11,0.307,No,No,0,Churned,No,Yes,No,No,Price Too High,1782000000000000000,54.9
CUST10033,33,Male,Ogun,New Customer,Instagram,2024-07-25,25,16,3,659900.97,125341.56,41976.38,32,Beauty,3,4,Missing Product,Medium,Resolved,2,1,No,5.0,0,0.0,No Return,0,0.0,No,No,8.6,5.4,3.2,4,0,0,3.6,4,5.3,10.6,Yes,3.8,3.8,3.8,3.9,3.9,10,8.2,12.05,0.433,No,Yes,4,Retained,Yes,No,No,No,Not Churned,,29.2
CUST10034,32,Female,Abia,New Customer,Facebook,2025-07-02,14,10,1,212271.58,19389.7,22123.8,167,Electronics,5,0,No Complaint,None,No Complaint,0,0,No,,2,0.2,Wrong Item,6,31819.88,No,No,8.8,4.9,3.9,4,0,1,2.3,0,6.6,15.6,Yes,3.8,4.3,3.8,4.0,3.0,26,7.6,4.03,0.07,No,No,0,Churned,No,Yes,No,No,Competitor,1773273600000000000,73.0
CUST10035,64,Female,Ogun,Loyal,Website,2023-06-29,38,10,0,651563.23,0.0,64433.55,87,Beauty,5,0,No Complaint,None,No Complaint,0,0,No,,1,0.1,Product Description Inaccurate,5,30507.71,Yes,Yes,3.0,4.9,0.0,1,0,1,3.7,0,2.1,4.4,Yes,4.6,5.0,4.6,4.5,5.0,31,9.6,2.29,0.661,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,11.2
CUST10036,61,Male,Abia,Regular,Google,2025-03-07,18,13,4,342478.9,98719.61,23486.72,86,Shoes,1,2,Missing Product,Low,Escalated,2,2,Yes,5.0,2,0.154,Product Description Inaccurate,5,26509.44,Yes,Yes,4.7,3.6,1.1,2,0,0,3.8,2,4.2,13.3,No,3.1,3.4,3.1,3.1,3.2,-14,4.6,0.77,0.309,No,Yes,6,Dormant,Yes,No,No,Yes,Not Churned,,12.4
CUST10037,20,Female,Abia,Regular,Email,2026-02-09,6,9,5,389717.83,198757.53,40765.93,26,Tops,5,1,Late Delivery,Low,Closed,2,2,No,4.4,1,0.111,Duplicate Order,4,18236.86,No,No,5.6,4.6,1.0,0,0,2,2.9,1,13.4,13.6,No,5.0,4.4,5.0,4.0,3.7,40,7.4,1.64,0.3,No,Yes,3,Retained,Yes,No,No,No,Not Churned,,6.3
CUST10038,54,Female,Imo,New Customer,Email,2025-11-10,9,10,2,203151.58,36021.84,19437.6,12,Electronics,5,0,No Complaint,None,No Complaint,0,0,No,,1,0.1,Product Description Inaccurate,4,18401.56,Yes,Yes,4.2,3.5,0.7,0,0,1,3.9,2,10.6,19.2,Yes,3.8,3.8,3.8,4.4,4.4,3,9.1,0.98,0.375,No,No,0,Retained,Yes,No,No,No,Not Churned,,5.8
CUST10039,24,Other,Edo,Loyal,Facebook,2026-03-14,5,10,3,328281.47,97134.44,30555.9,51,Tops,5,0,No Complaint,None,No Complaint,0,0,No,,1,0.1,Product Description Inaccurate,7,20125.1,Yes,Yes,4.1,5.0,0.0,2,0,0,4.1,0,1.0,4.1,Yes,4.4,5.0,4.4,4.7,4.9,31,8.7,1.37,0.386,No,Yes,5,Retained,Yes,No,No,No,Not Churned,,7.0
CUST10040,38,Female,Enugu,Loyal,Instagram,2026-03-15,5,12,1,660813.81,47193.64,51137.39,119,Beauty,4,0,No Complaint,None,No Complaint,0,0,No,,0,0.0,No Return,0,0.0,No,No,4.3,5.4,0.0,0,0,0,4.9,0,2.6,5.4,Yes,4.0,4.6,4.0,4.4,3.4,-2,8.9,4.33,0.069,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,30.8
CUST10041,26,Male,Imo,Loyal,TikTok,2024-03-16,29,12,2,568557.44,97315.6,49375.5,76,Bags,4,2,Refund Rejected,Low,Resolved,2,0,No,4.7,0,0.0,No Return,0,0.0,No,No,6.4,4.3,2.1,2,0,1,3.5,2,3.3,5.5,Yes,3.2,4.8,3.2,3.9,3.7,-10,8.1,0.17,0.042,Yes,No,0,Churned,No,Yes,No,No,Inactive,1770940800000000000,59.5
CUST10042,56,Other,Oyo,Loyal,Google,2025-06-05,15,11,3,334667.9,87097.55,32268.87,89,Bags,1,2,Product Not as Described,High,Escalated,6,0,Yes,4.0,0,0.0,No Return,0,0.0,No,No,6.9,4.1,2.8,1,0,1,3.1,2,2.9,6.0,No,3.7,3.9,3.7,3.1,2.7,-23,6.4,5.5,0.225,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,12.3
CUST10043,35,Female,Cross River,New Customer,Instagram,2024-02-25,30,7,3,640386.12,283531.4,89913.34,49,Tops,5,3,Poor Customer Service,Low,Closed,7,3,No,4.9,1,0.143,Late Delivery,5,57793.36,No,No,5.3,5.1,0.2,0,0,0,3.6,3,0.8,7.0,No,4.0,4.0,4.0,3.4,2.6,32,7.6,7.54,0.163,Yes,No,0,Retained,Yes,No,No,No,Not Churned,,8.1
CUST10044,21,Female,Kano,New Customer,TikTok,2026-04-04,5,14,5,372646.67,150201.07,28934.84,64,Electronics,1,0,No Complaint,None,No Complaint,0,0,No,,0,0.0,No Return,0,0.0,No,No,3.5,5.2,0.0,1,0,2,3.8,0,3.7,7.9,Yes,4.2,3.0,4.2,3.3,3.1,7,6.8,3.01,0.258,No,Yes,4,Churned,No,Yes,No,No,Better Alternative,1768435200000000000,41.5
CUST10045,42,Female,Abia,New Customer,Instagram,2024-04-12,29,9,2,503222.59,102372.83,55459.96,158,Dresses,1,4,App Crash,Critical,Resolved,3,0,No,5.0,1,0.111,Damaged,13,49695.42,Yes,Yes,2.8,2.8,0.0,0,0,1,4.4,4,7.6,9.2,No,3.5,3.3,3.5,3.9,3.2,46,8.9,6.23,0.166,No,No,0,Churned,No,Yes,No,No,Refund Problems,1772236800000000000,38.0
CUST10046,31,Female,Enugu,Regular,Website,2024-12-13,20,13,1,338879.19,21480.47,24427.97,88,Dresses,1,2,Failed Payment,Medium,Closed,6,3,No,3.4,0,0.0,No Return,0,0.0,No,No,4.2,4.6,0.0,0,1,0,5.0,2,2.4,6.4,No,4.7,4.6,4.7,4.4,4.4,38,7.6,1.92,0.324,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,11.1
CUST10047,26,Female,Ogun,New Customer,Instagram,2024-01-20,31,8,2,124233.4,31490.31,17606.76,156,Dresses,4,1,Refund Delayed,Medium,Resolved,2,0,No,5.0,1,0.125,Defective,4,7513.66,Yes,Yes,3.6,4.4,0.0,0,0,0,4.0,1,3.2,5.5,Yes,3.7,4.3,3.7,4.3,4.4,36,9.3,1.17,0.194,No,No,0,Churned,No,Yes,No,No,No Longer Needed,1771459200000000000,63.5
CUST10048,43,Male,Abuja,Regular,Instagram,2023-11-10,34,14,2,370473.0,58396.19,29079.2,55,Trousers,4,3,Issue Not Resolved,Low,Resolved,1,1,No,4.9,0,0.0,No Return,0,0.0,No,No,3.0,3.1,0.0,0,1,0,3.7,3,13.7,15.7,Yes,4.9,3.5,4.9,3.8,3.7,-5,7.5,6.99,0.427,No,No,0,Churned,No,Yes,No,No,Too Many Delivery Problems,1772236800000000000,18.0
CUST10049,19,Female,Delta,Regular,Instagram,2025-02-09,18,11,3,179037.25,38021.01,14280.03,36,Electronics,3,3,Exchange Difficulty,Low,Resolved,1,1,No,4.8,1,0.091,Poor Quality,11,7597.91,No,No,4.4,2.9,1.5,3,0,0,4.5,3,2.5,14.9,Yes,3.9,4.2,3.9,3.9,3.0,7,8.4,13.21,0.377,No,No,0,Churned,No,Yes,No,No,Refund Problems,1776556800000000000,53.3
CUST10050,37,Female,Oyo,High Value,Email,2025-08-16,12,10,4,422041.7,138875.41,37330.84,41,Electronics,5,2,Refund Delayed,Low,Escalated,6,2,Yes,5.0,2,0.2,Late Delivery,12,52952.6,No,No,4.9,3.4,1.5,0,0,0,4.1,2,3.5,6.0,No,3.9,4.0,3.9,4.1,3.6,54,9.3,5.02,0.118,No,No,0,Retained,Yes,No,No,No,Not Churned,,15.6
CUST10051,45,Other,Delta,Loyal,TikTok,2025-07-05,14,9,3,300994.19,107098.28,33685.07,184,Dresses,2,2,Product Not as Described,Medium,Resolved,4,0,No,5.0,1,0.111,Duplicate Order,11,26698.45,No,No,3.6,3.0,0.6,0,0,0,3.6,2,7.7,11.8,No,3.9,5.0,3.9,4.5,3.3,46,7.6,9.96,0.59,No,Yes,2,At Risk,Yes,No,Yes,No,Not Churned,,55.3
CUST10052,64,Male,Kaduna,Loyal,Website,2023-01-23,43,9,4,402471.07,149812.48,43027.64,130,Accessories,4,1,Account Issue,High,Closed,3,1,No,4.4,0,0.0,No Return,0,0.0,No,No,4.0,3.2,0.8,1,1,0,3.5,3,3.9,5.4,No,3.9,5.0,3.9,4.1,3.9,49,9.2,2.8,0.091,No,Yes,3,At Risk,Yes,No,Yes,No,Not Churned,,19.9
CUST10053,24,Male,,Loyal,Google,2023-12-05,33,10,3,293043.14,94908.98,31785.87,102,Dresses,2,0,No Complaint,None,No Complaint,0,0,No,,1,0.1,Wrong Color,2,28651.47,Yes,Yes,5.9,5.3,0.6,0,0,0,4.0,4,9.2,14.5,Yes,3.9,4.9,3.9,4.7,4.3,47,9.3,13.29,0.076,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,14.3
CUST10054,61,Female,Abuja,New Customer,Google,2025-04-02,17,10,0,268819.12,0.0,27731.23,24,Accessories,5,1,Late Delivery,Low,Closed,7,0,No,3.9,0,0.0,No Return,0,0.0,No,No,4.6,5.2,0.0,0,0,1,4.3,1,1.5,7.0,No,4.6,4.0,4.6,4.5,5.0,33,8.4,2.01,0.39,Yes,No,0,Retained,Yes,No,No,No,Not Churned,,3.5
CUST10055,25,Male,Kaduna,Loyal,Facebook,2024-01-01,32,8,2,290520.21,58423.05,33191.94,158,Beauty,5,2,Poor Customer Service,Medium,Resolved,2,3,No,4.7,1,0.125,Defective,1,21343.03,No,No,5.4,3.3,2.1,1,0,1,3.4,2,9.2,10.5,No,2.9,3.7,2.9,2.8,2.8,11,4.4,8.65,0.428,No,No,0,At Risk,Yes,No,Yes,No,Not Churned,,23.5
CUST10056,64,Female,Anambra,Regular,Google,2025-07-03,14,9,1,550451.53,53798.87,55045.16,82,Electronics,4,3,Refund Rejected,Low,Resolved,5,2,No,5.0,1,0.111,Product Description Inaccurate,11,48538.41,No,No,1.5,3.1,0.0,0,0,1,4.6,3,1.2,5.0,No,2.5,4.4,2.5,3.9,3.8,41,6.1,4.11,0.452,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,15.9
CUST10057,52,Female,Ogun,Loyal,Referral,2024-04-19,28,9,1,466131.66,51254.94,52345.76,92,Tops,2,1,Order Cancellation,Medium,Resolved,2,0,No,4.8,0,0.0,No Return,0,0.0,No,No,4.8,3.9,0.9,2,0,1,4.5,1,1.7,4.4,Yes,4.7,3.7,4.7,4.4,4.2,16,8.6,6.13,0.316,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,13.2
CUST10058,31,Female,Abia,Regular,Referral,2023-01-27,43,8,2,455805.98,111650.84,59104.44,147,Shoes,1,2,Return Difficulty,High,Closed,2,2,No,3.9,1,0.125,Defective,5,42272.82,Yes,Yes,5.3,4.5,0.8,1,1,0,3.4,2,7.6,12.8,No,2.7,3.9,2.7,3.2,3.3,20,6.1,4.39,0.291,No,Yes,5,Churned,No,Yes,No,No,Too Many Delivery Problems,1783641600000000000,46.8
CUST10059,34,Male,Imo,High Value,Facebook,2025-07-30,13,13,0,149757.55,0.0,10826.34,21,Beauty,1,3,Price Increase,Low,Pending,3,0,No,4.3,0,0.0,No Return,0,0.0,No,No,6.0,2.9,3.1,4,0,0,2.2,3,3.4,13.1,No,5.0,4.6,5.0,3.9,3.9,23,8.8,2.75,0.178,No,Yes,2,Churned,No,Yes,No,No,Competitor,1777939200000000000,41.8
